                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3807,                 9.9599,                 1.1935,                0.00333,                0.28704,                0.00227,                0.00079,                 2.3243,                 5.7589,                 1.0345,                 0.0006,                 0.0006,                 0.0006
                      2,                 2.2925,                 6.2183,                 1.1487,                  5e-05,                0.00463,                  3e-05,                  2e-05,                 2.3877,                 5.4988,                 1.0823,              0.0011855,              0.0011855,              0.0011855
                      3,                 2.2021,                 5.3749,                 1.0933,                      1,                0.02957,                0.10876,                0.05315,                 2.4083,                 3.7726,                 1.0861,              0.0017359,              0.0017359,              0.0017359
                      4,                  2.143,                 4.7134,                 1.0942,                0.47585,                 0.2037,                0.23736,                0.09408,                 2.2751,                 2.8013,                 1.0817,              0.0018303,              0.0018303,              0.0018303
                      5,                 2.1423,                 4.0031,                 1.1128,                 0.4557,                0.37037,                0.32272,                0.11667,                 2.2637,                  2.887,                  1.074,              0.0017737,              0.0017737,              0.0017737
                      6,                 2.0593,                 3.8043,                 1.0644,                0.39707,                0.38426,                0.31457,                0.13606,                 2.2608,                 2.5692,                 1.1308,              0.0017171,              0.0017171,              0.0017171
                      7,                 2.1955,                 3.5895,                 1.0733,                0.54584,                0.27315,                0.29772,                0.13065,                 2.2865,                 2.3523,                 1.0871,              0.0016606,              0.0016606,              0.0016606
                      8,                 2.1813,                 3.4291,                 1.0913,                0.53007,                0.41204,                0.42071,                0.17131,                  2.173,                 1.9559,                 1.0425,               0.001604,               0.001604,               0.001604
                      9,                 1.9557,                 2.8054,                 1.0482,                0.51896,                0.31944,                0.37013,                 0.1621,                 2.1758,                 1.9592,                 1.0495,              0.0015474,              0.0015474,              0.0015474
                     10,                 2.0598,                 3.0227,                 1.0865,                0.69939,                0.30159,                0.39698,                0.16135,                  2.276,                 1.9376,                 1.0658,              0.0014909,              0.0014909,              0.0014909
                     11,                 1.8579,                 2.4582,                 1.0216,                0.34661,                0.46759,                0.22653,                0.09467,                 1.9614,                 5.8229,                 1.0123,              0.0014343,              0.0014343,              0.0014343
                     12,                 1.9397,                 2.4732,                 1.0121,                 0.4467,                0.37963,                0.31188,                0.13458,                 2.1845,                 2.0296,                 1.0339,              0.0013777,              0.0013777,              0.0013777
                     13,                 1.8751,                 2.2338,                0.99612,                0.58301,                0.48611,                0.49838,                0.22585,                 2.0421,                 1.6406,                  1.022,              0.0013211,              0.0013211,              0.0013211
                     14,                 1.8626,                 2.0744,                0.99868,                0.64168,                0.43112,                0.49533,                 0.2027,                 2.0917,                 1.7821,                 1.0223,              0.0012646,              0.0012646,              0.0012646
                     15,                 1.8101,                 1.9639,                 1.0013,                0.64445,                0.47222,                0.53189,                0.23159,                 1.9834,                 1.6435,                 1.0093,               0.001208,               0.001208,               0.001208
                     16,                 1.7534,                 1.8662,                0.96135,                 0.5951,                0.50463,                0.52437,                0.21705,                 2.0158,                 1.6995,                 1.0162,              0.0011514,              0.0011514,              0.0011514
                     17,                 1.8917,                 1.9926,                 1.0301,                 0.6803,                0.43349,                0.53017,                0.22883,                  1.942,                 1.5992,                0.99023,              0.0010949,              0.0010949,              0.0010949
                     18,                 1.7892,                 1.7537,                 0.9889,                0.60584,                0.46296,                0.48941,                0.20946,                 2.0212,                 1.4807,                 1.0052,              0.0010383,              0.0010383,              0.0010383
                     19,                 1.6798,                 1.4773,                0.96032,                0.54735,                0.49825,                0.44218,                0.18552,                 1.9975,                 1.6047,                0.99226,             0.00098171,             0.00098171,             0.00098171
                     20,                 1.7631,                 1.5711,                0.96521,                0.61099,                0.55556,                0.57431,                0.25742,                 1.8637,                 1.2105,                0.98318,             0.00092514,             0.00092514,             0.00092514
                     21,                 1.6727,                 1.4701,                0.96991,                0.59893,                0.56019,                0.57127,                0.27048,                 1.8785,                 1.2701,                0.98466,             0.00086857,             0.00086857,             0.00086857
                     22,                 1.7118,                 1.5832,                0.96508,                0.58342,                0.55112,                0.53873,                 0.2386,                 1.8866,                 1.2948,                 1.0036,               0.000812,               0.000812,               0.000812
                     23,                 1.6533,                 1.4251,                0.97319,                0.52004,                0.50463,                0.45114,                0.19925,                 2.0012,                 1.3542,                 1.0076,             0.00075543,             0.00075543,             0.00075543
                     24,                 1.5605,                 1.3307,                0.95967,                 0.5725,                 0.5463,                0.54913,                0.26209,                  1.879,                 1.2601,                 1.0009,             0.00069886,             0.00069886,             0.00069886
                     25,                 1.6835,                 1.3709,                0.98273,                0.54969,                0.56019,                0.55666,                0.25471,                 1.8774,                  1.199,                0.98597,             0.00064229,             0.00064229,             0.00064229
                     26,                 1.6426,                 1.6287,                0.98686,                0.53116,                0.50463,                0.51063,                 0.2467,                 1.8419,                 1.2302,                0.99349,             0.00058571,             0.00058571,             0.00058571
                     27,                 1.6281,                  1.536,                0.99447,                0.54054,                0.48475,                 0.4868,                0.22322,                 1.9409,                 1.3021,                 1.0049,             0.00052914,             0.00052914,             0.00052914
                     28,                 1.5744,                 1.4919,                0.96201,                0.61543,                 0.5463,                0.57891,                0.27022,                 1.8143,                 1.2046,                0.98317,             0.00047257,             0.00047257,             0.00047257
                     29,                 1.5467,                 1.4299,                0.96374,                0.66416,                0.49537,                0.56205,                0.26612,                   1.91,                 1.2398,                0.99438,               0.000416,               0.000416,               0.000416
                     30,                 1.6436,                 1.6421,                0.97679,                0.62672,                0.53633,                0.55914,                0.26135,                  1.916,                 1.2384,                0.99766,             0.00035943,             0.00035943,             0.00035943
                     31,                 1.5438,                 1.4332,                 0.9527,                 0.6093,                0.55556,                0.57698,                 0.2714,                 1.8678,                 1.2139,                0.99302,             0.00030286,             0.00030286,             0.00030286
                     32,                 1.5246,                  1.389,                0.95252,                0.63229,                0.56019,                 0.5646,                0.26608,                 1.8912,                 1.2231,                0.99754,             0.00024629,             0.00024629,             0.00024629
                     33,                 1.5866,                 1.5055,                0.94902,                0.58677,                0.52778,                0.55088,                0.25477,                 1.8978,                 1.2707,                0.98813,             0.00018971,             0.00018971,             0.00018971
                     34,                 1.5664,                 1.4664,                0.94558,                0.59009,                0.52778,                 0.5502,                0.26358,                 1.8615,                  1.253,                0.98517,             0.00013314,             0.00013314,             0.00013314
                     35,                 1.4665,                 1.3045,                0.93944,                 0.6391,                0.53704,                0.56667,                0.26835,                  1.853,                 1.1936,                0.98079,             7.6571e-05,             7.6571e-05,             7.6571e-05
